SampleID.	SiteType	SampleLocation	Date	Month	Latitude	Longitude	AirTemp	WaterTemp	Rain3days	Rain1month	ChemDataSource	TP	DO	TEMP	CONDUCTIVITY	pH	TN	AMMONIA	TSS
GW2A.3.22.17	Control	GW2	3.22.17	Mar	26.49209	-80.11167	26	20.8	0	2.928	DBHYDRO/WPB	0.015	5.58	21.7	407	7.4	0.895	0.1	2
GW2.11.16.16.1	Control	GW2	11.16.16	Nov	26.49209	-80.11167	22.5	20.8	0	0.608	WPB	0.022	5	20.9	165	6.61	1.18	0.1	2
GW2.11.16.16.2	Control	GW2	11.16.16	Nov	26.49209	-80.11167	22.5	20.8	0	0.608	WPB	0.022	5	20.9	165	6.61	1.18	0.1	2
GW2.11.21.17	Control	GW2	11.21.17	Nov	26.49209	-80.11167	21	20	0.423	7.297	DBHYDRO/WPB	0.085	4.81	23	162	6.6	0.611	0.13	2
GW2.10.26.16	Control	GW2	10.26.16	Oct	26.49209	-80.11167	23.5	23	0	5.712	WPB	0.017	4.92	22.7	190	7.2	0.98	0.1	2
GW2.9.20.17	Control	GW2	9.20.17	Sept	26.49209	-80.11167	29.1	27.1	0.76	9.487	WPB	0.013	1.35	28.3	249	6.5	0.38	0.1	2
GW4.8.2.17	Control	GW4	8.2.17	Aug	26.4931	-80.1142	30.9	27.5	1.278	7.126	WPB	0.016	4.17	27.4	290	7	1.04	0.21	2
GW4A.12.14.16	Control	GW4	12.14.16	Dec	26.4931	-80.1142	27.6	22.1	0.08	1.045	DBHYDRO/WPB	0.014	5.32	22.6	170	7.1	0.965	0.1	2
GW4.6.20.17	Control	GW4	6.20.17	June	26.4931	-80.1142	29.7	27.7	1.039	12.794	WPB	0.015	0.72	27.9	136	6.6	0.95	0.1	2
GW4.11.16.16	Control	GW4	11.16.16	Nov	26.4931	-80.1142	26	20.6	0	0.608	WPB	0.022	5	20.9	165	6.61	1.18	0.1	2
GW4.11.21.17	Control	GW4	11.21.17	Nov	26.4931	-80.1142	22	20.5	0.423	7.297	DBHYDRO/WPB	0.085	4.81	23	162	6.6	0.611	0.13	2
GW3.10.26.16	Control	GW4	10.26.16	Oct	26.4931	-80.1142	26.7	22.9	0	5.712	WPB	0.017	4.92	22.7	190	7.2	0.98	0.1	2
GW4.10.26.16	Control	GW4	10.26.16	Oct	26.4931	-80.1142	26.3	22.5	0	5.712	WPB	0.017	4.92	22.7	190	7.2	0.98	0.1	2
GW4A.10.26.16	Control	GW4	10.26.16	Oct	26.4931	-80.1142	26.7	22.9	0	5.712	WPB	0.017	4.92	22.7	190	7.2	0.98	0.1	2
GW4.9.20.17	Control	GW4	9.20.17	Sept	26.4931	-80.1142	31.2	28.7	0.76	9.487	WPB	0.013	1.35	28.3	249	6.5	0.38	0.1	2
GW5.8.2.17	Control	GW5	8.2.17	Aug	26.4855	-80.11132	30.5	27.5	1.278	7.126	WPB	0.016	4.17	27.4	290	7	1.04	0.21	2
GW5.12.14.16	Control	GW5	12.14.16	Dec	26.4855	-80.11132	33	23.9	0.08	1.045	DBHYDRO/WPB	0.014	5.32	22.6	170	7.1	0.965	0.1	2
GW5.6.20.17	Control	GW5	6.20.17	June	26.4855	-80.11132	31.5	27.8	1.039	12.794	WPB	0.015	0.72	27.9	136	6.6	0.95	0.1	2
GW5.11.16.16	Control	GW5	11.16.16	Nov	26.4855	-80.11132	26	20.6	0	0.608	WPB	0.022	5	20.9	165	6.61	1.18	0.1	2
GW5.11.21.17	Control	GW5	11.21.17	Nov	26.4855	-80.11132	23.4	21	0.423	7.297	DBHYDRO/WPB	0.085	4.81	23	162	6.6	0.611	0.13	2
GW5.10.26.16	Control	GW5	10.26.16	Oct	26.4855	-80.11132	27.2	22.7	0	5.712	WPB	0.017	4.92	22.7	190	7.2	0.98	0.1	2
GW5.9.20.17	Control	GW5	9.20.17	Sept	26.4855	-80.11132	32	29.4	0.76	9.487	WPB	0.013	1.35	28.3	249	6.5	0.38	0.1	2
GW6.8.2.17	Control	GW6	8.2.17	Aug	26.48452	-80.11359	28.3	27.4	1.278	7.126	WPB	0.016	4.17	27.4	290	7	1.04	0.21	2
GW6.12.14.16	Control	GW6	12.14.16	Dec	26.48452	-80.11359	28	23.3	0.08	1.045	DBHYDRO/WPB	0.014	5.32	22.6	170	7.1	0.965	0.1	2
GW6.6.20.17	Control	GW6	6.20.17	June	26.48452	-80.11359	31	27.6	1.039	12.794	WPB	0.015	0.72	27.9	136	6.6	0.95	0.1	2
GW6.11.16.16	Control	GW6	11.16.16	Nov	26.48452	-80.11359	26.5	21	0	0.608	WPB	0.022	5	20.9	165	6.61	1.18	0.1	2
GW6.11.21.17	Control	GW6	11.21.17	Nov	26.48452	-80.11359	22.8	20.7	0.423	7.297	DBHYDRO/WPB	0.085	4.81	23	162	6.6	0.611	0.13	2
GW6.10.26.16	Control	GW6	10.26.16	Oct	26.48452	-80.11359	26.2	22.3	0	5.712	WPB	0.017	4.92	22.7	190	7.2	0.98	0.1	2
GW6A.10.26.16	Control	GW6	10.26.16	Oct	26.48452	-80.11359	27.2	22.7	0	5.712	WPB	0.017	4.92	22.7	190	7.2	0.98	0.1	2
GW6.9.20.17	Control	GW6	9.20.17	Sept	26.48452	-80.11359	31.6	29.2	0.76	9.487	WPB	0.013	1.35	28.3	249	6.5	0.38	0.1	2
GW7.8.2.17	Control	GW7	8.2.17	Aug	26.48421	-80.10565	30.1	27.5	1.278	7.126	WPB	0.016	4.17	27.4	290	7	1.04	0.21	2
GW7.12.14.16	Control	GW7	12.14.16	Dec	26.48421	-80.10565	29.9	23.1	0.08	1.045	DBHYDRO/WPB	0.014	5.32	22.6	170	7.1	0.965	0.1	2
GW7.1.18.17	Control	GW7	1.18.17	Jan	26.48421	-80.10565	26.8	19.5	0	0.564	DBHYDRO/WPB	0.01	6.33	20.9	162	7.8	0.93	0.1	2
GW7.6.20.17	Control	GW7	6.20.17	June	26.48421	-80.10565	32	28.1	1.039	12.794	WPB	0.015	0.72	27.9	136	6.6	0.95	0.1	2
GW7.11.16.16	Control	GW7	11.16.16	Nov	26.48421	-80.10565	25.1	20.3	0	0.608	WPB	0.022	5	20.9	165	6.61	1.18	0.1	2
GW7.11.21.17	Control	GW7	11.21.17	Nov	26.48421	-80.10565	24	21.6	0.423	7.297	DBHYDRO/WPB	0.085	4.81	23	162	6.6	0.611	0.13	2
GW7.10.26.16	Control	GW7	10.26.16	Oct	26.48421	-80.10565	26.1	23.7	0	5.712	WPB	0.017	4.92	22.7	190	7.2	0.98	0.1	2
GW7.9.20.17	Control	GW7	9.20.17	Sept	26.48421	-80.10565	31.4	29.1	0.76	9.487	WPB	0.013	1.35	28.3	249	6.5	0.38	0.1	2
GW8.8.2.17	Control	GW8	8.2.17	Aug	26.48503	-80.10493	30.2	27.2	1.278	7.126	WPB	0.016	4.17	27.4	290	7	1.04	0.21	2
GW8.12.14.16	Control	GW8	12.14.16	Dec	26.48503	-80.10493	31	23.7	0.08	1.045	DBHYDRO/WPB	0.014	5.32	22.6	170	7.1	0.965	0.1	2
GW8.1.18.17	Control	GW8	1.18.17	Jan	26.48503	-80.10493	26.3	21.3	0	0.564	DBHYDRO/WPB	0.01	6.33	20.9	162	7.8	0.93	0.1	2
GW8.6.20.17	Control	GW8	6.20.17	June	26.48503	-80.10493	31.2	28.2	1.039	12.794	WPB	0.015	0.72	27.9	136	6.6	0.95	0.1	2
GW8.3.22.17	Control	GW8	3.22.17	Mar	26.48503	-80.10493	26	21.3	0	2.928	DBHYDRO/WPB	0.015	5.58	21.7	407	7.4	0.895	0.1	2
GW8.11.16.16	Control	GW8	11.16.16	Nov	26.48503	-80.10493	25.8	22.5	0	0.608	WPB	0.022	5	20.9	165	6.61	1.18	0.1	2
GW8.11.21.17	Control	GW8	11.21.17	Nov	26.48503	-80.10493	24.1	21.6	0.423	7.297	DBHYDRO/WPB	0.085	4.81	23	162	6.6	0.611	0.13	2
GW8.9.20.17	Control	GW8	9.20.17	Sept	26.48503	-80.10493	31.8	29.1	0.76	9.487	WPB	0.013	1.35	28.3	249	6.5	0.38	0.1	2
